doi,title,date,tier,program,grant,acronym,call,disc,stage,stage_frac,proj_start,proj_end,proj_status,madmp,schema_ok,n_datasets,n_dist,personal,sensitive,ethics,challenging,access,url,dl
10.5281/zenodo.5992729,"Data Management Plan for Use Cases of the GeoKur Project  on suitability of global land use data to assess relationships between land use, degradation, pollination and human migration",2022-02-01,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/5992729,
10.5281/zenodo.5925784,D1.5 Data Management Plan (3),2022-01-31,Horizon 2020,H2020,821964,BEACON,H2020-SPACE-2018-2020,natural sciences,late,1.0,2019-01-01,2022-01-31,CLOSED,False,,,,0,0,,False,public,https://zenodo.org/records/5925784,
10.5281/zenodo.5921735,Water Sentinels - Data Management Plan,2022-01-31,Horizon 2020,H2020,824603,ACTION,H2020-SwafS-2018-2020,social sciences,late,1.0,2019-02-01,2022-01-31,CLOSED,False,,,,0,0,,False,public,https://zenodo.org/records/5921735,
10.5281/zenodo.5921136,Mapping Mobility - Data Management Plan,2022-01-31,Horizon 2020,H2020,824603,ACTION,H2020-SwafS-2018-2020,social sciences,late,1.0,2019-02-01,2022-01-31,CLOSED,False,,,,0,0,,False,public,https://zenodo.org/records/5921136,
10.5281/zenodo.5731244,"Direito administrativo. São Paulo: PUCSP, 2022.",2022-01-28,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/5731244,
10.5281/zenodo.5910635,The DESI PRObabilistic Value-Added Bright Galaxy Survey (PROVABGS) Mock Challenge,2022-01-27,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/5910635,
10.5281/zenodo.5910673,Suivre des influenceurs sur les réseaux sociaux : une application de la théorie du comportement planifié en France,2022-01-27,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/5910673,
10.5281/zenodo.5910646,Apprentissage des langues en grande surface. Une expérimentation au rayon fruits et légumes (enquête longitudinale),2022-01-27,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/5910646,
10.5281/zenodo.5910622,Retour de l'uniforme au collège : impact des modalités sur l'acceptabilité par les jeunes,2022-01-27,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/5910622,
10.5281/zenodo.5910274,Le paranormal : une enquête exploratoire en France,2022-01-27,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/5910274,
10.5281/zenodo.5899954,Data Management Plan,2022-01-25,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/5899954,
10.5281/zenodo.18364874,"Blue Bird Vision: Propuesta estratégica para la transformación del modelo comercial y de adopción en el segmento ELT, Young Adults, Mexico.",2022-01-25,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/18364874,
10.5281/zenodo.5898668,DISCO2 STORE Data Management Plan,2022-01-24,Horizon 2020,H2020,101007851,DISCO2 STORE,H2020-MSCA-RISE-2020,natural sciences,early,0.21,2021-02-01,2025-09-30,SIGNED,False,,,,0,0,,False,public,https://zenodo.org/records/5898668,
10.5281/zenodo.5893847,D2.1 - DMP,2022-01-23,Horizon 2020,H2020,101018756,GTCLC-NEG,H2020-MSCA-IF-2020,engineering and technology,early,0.283,2021-07-01,2023-06-30,CLOSED,False,,,,0,0,,False,public,https://zenodo.org/records/5893847,
10.5281/zenodo.5909751,Intention de soutenir l'existence de phénomènes paranormaux : comparaisons exploratoires entre une approche psychosociologique versus marketing,2022-01-20,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/5909751,
10.5281/zenodo.5909729,Consulter un guérisseur : une extension de la théorie du comportement planifié à l'identité en termes de spiritualité et aux intentions d'usage de médecines alternatives,2022-01-20,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/5909729,
